;integrations_themes;integrations_keywords
561;app_lib_service;spark
563;app_lib_service,feature;document edit,exploration,pdf
565;feature;fold,auto ?complet(e|ion),ides?(\W|$)
576;app_lib_service,feature;matplotlib,editor,interactiv(e|ity)
579;feature,app_lib_service;d3,theano,deep learn
581;version;git(\W|$)
587;version;git(\W|$)
588;feature;debug
590;feature;file browse,editor,console
592;platform,feature;deploy,variable,widgets,dashboard
594;language;scala,R(\W|$)
595;app_lib_service;beaker
600;app_lib_service;d3
604;app_lib_service;vim
605;app_lib_service;vim
606;app_lib_service;vim
607;language,app_lib_service;vim,bash
610;language;sql
612;feature;collab,backup
613;feature,app_lib_service;mayavi,share
615;app_lib_service;matplotlib
616;app_lib_service,language,feature;evernote,lua,presentation
617;language,feature;python(3|2)?,widgets,test
620;app_lib_service;spark
627;feature,app_lib_service;variable,animation
630;language,feature;i?julia,plot(ting),julia
631;language,platform,app_lib_service;d3,C(\W|$),docker
633;app_lib_service;torch
638;feature;editor
640;language;bash
641;app_lib_service;matplotlib,pandas
643;app_lib_service;vim
646;feature;visualization,visuali(s|z)ation,editor,interactiv(e|ity)
649;app_lib_service;pandas,matplotlib
654;feature,app_lib_service;d3,swift,sublime,editor
661;feature;hide cell,pagebreaks,views
662;version,feature;git(\W|$),image
666;feature;imports,management
668;platform,app_lib_service;os x,virtualenv
681;feature,app_lib_service;vim,sublime,ides?(\W|$)
689;version,language;git(\W|$),java
691;app_lib_service;scipy,numpy
700;app_lib_service;slack
706;feature;widgets,dashboard
710;app_lib_service;visual studio
712;feature,version,platform,app_lib_service;windows,history,git(\W|$),cloud,install,(ana)?conda
716;language;perl,python(3|2)?,php
718;feature,app_lib_service;pycharm,atom,profil(e|ing),editor,graphical
719;language,feature;python(3|2)?,debug
729;app_lib_service;vim
738;app_lib_service,feature;ides?(\W|$),synapse.org
740;language;R(\W|$)
742;platform;deploy,google,cloud
745;app_lib_service;pandas
747;feature;sandbox
749;feature;plot(ting),interactiv(e|ity)
750;app_lib_service;excel
753;feature,app_lib_service;ides?(\W|$),pycharm
755;language,app_lib_service;posgres,R(\W|$)
757;feature;ides?(\W|$)
759;feature,version,language,platform,app_lib_service;os x,R(\W|$),git(\W|$),python(3|2)?,matplotlib,install
763;language,app_lib_service;flask,java,django
765;feature,app_lib_service;debug,ides?(\W|$),profil(e|ing),pycharm
771;app_lib_service;pyspark
773;feature,app_lib_service;auto ?complet(e|ion),pycharm
776;language;python(3|2)?,R(\W|$),i?julia,julia
780;feature;memory,modules
781;app_lib_service;pycharm
782;version;git(\W|$)
785;app_lib_service;matplotlib,line_profiler
786;app_lib_service,feature;widgets,scrapy,interactiv(e|ity)
791;app_lib_service;emacs
795;language,app_lib_service;golang,d3,js,java
800;feature;completion
802;app_lib_service;pycharm
803;app_lib_service;emacs
804;app_lib_service,feature;vim,terminal,pdf,image
806;feature,app_lib_service;spark,hadoop,api(\W|$),matplotlib,visuali(s|z)ation
808;app_lib_service;plot(\.)?ly,geojson,pandas
810;app_lib_service;spark
815;feature,app_lib_service;ipython,widgets,management
816;app_lib_service;excel,pycharm
823;feature;native
824;version,app_lib_service;git(\W|$),matplotlib
828;language,app_lib_service;vim,latex,i?julia,julia
829;feature;fold,command\W?line
835;app_lib_service;spark
837;feature,app_lib_service;slides,d3,slide
838;feature,version,app_lib_service;vim,atom,git(\W|$),editor
846;feature;3d
849;language,app_lib_service;d3,js
851;app_lib_service;atom
856;app_lib_service;vim
858;feature,app_lib_service;pip,qt,debug,gpilab,graphical
