;first_experience_enhancements_themes;first_experience_enhancements_keywords
668;hosting;virtual(env|\senvironment)
671;documentation,language;examples?,(more|different) kernels
682;ux,installation,content_management;install(ation)?,drag,(folders?|director(y|ies))
700;editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
706;hosting,integration;docker,ggplot2
712;version_control,documentation,ux;introduction,git(hub)?,doc(s|umentation)?($|\W),(menu|buttons?|toolbar|tooltips?|logo|icons?),tutorial(s?),(auto)?-?sav(e|ing)|checkpoints?
716;ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?)
718;editor,other;terminal,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
719;ux;undo,(auto)?-?sav(e|ing)|checkpoints?
740;installation;install(ation)?
755;integration;pandas
765;ux;(menu|buttons?|toolbar|tooltips?|logo|icons?),(clear|run) all
766;installation;install(ation)?
773;;
780;;
781;editor,ux;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,interface
785;integration;sympy
803;content_management;navigat(e|ion|ing),(folders?|director(y|ies))
808;documentation,integration;pandas,help
816;;
823;language;(multi-?)?language
824;hosting,documentation;start,guides?
828;documentation,dissemination,editor,extensions;roadmap,plugins?,export(ing)?,vim?($|\W)|emacs
835;other;forg(e|o)t
838;;
841;hosting,installation;install(ation)?,launch(ing)?
859;documentation,content_management;toc|table of contents,doc(s|umentation)?($|\W)
863;hosting,language;python,launch(ing)?
865;installation;install(ation)?
869;installation,integration;install(ation)?,(apache\s)?spark
877;hosting,documentation;start,tutorial(s?)
890;editor,ux;toggle,(text|code\s)?edit(or|ing),vim?($|\W)|emacs
892;language;python,(multi-?)?language
894;documentation,ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),stab(le|ility)|crash(es)?,doc(s|umentation)?($|\W)
897;ux,installation;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),set(ting)?(\s)?up
906;installation;install(ation)?,configur(e|ation|ing)
915;other;remember
918;documentation,visualization;doc(s|umentation)?($|\W),widgets?
919;editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
926;editor;(text|code\s)?edit(or|ing),vim?($|\W)|emacs
940;integration;%?matplotlib
960;other,hosting,documentation,language,integration;python,start,welcome,%?matplotlib,forg(e|o)t
966;editor,dissemination;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,vim?($|\W)|emacs,(nb)?convert
970;editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
974;ux,language;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),(multi-?)?language
994;documentation,ux,installation;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),doc(s|umentation)?($|\W),configur(e|ation|ing)
996;editor;(text|code\s)?edit(or|ing)
998;installation,integration;install(ation)?,(ana)?conda
1018;installation;install(ation)?
1020;ux,integration;(menu|buttons?|toolbar|tooltips?|logo|icons?),%?matplotlib
1026;version_control;git(hub)?
1029;installation,integration;install(ation)?,pylab
1031;editor;(tab|code|auto)-?\s?complet(e|ion)
1050;other;confusing
1053;;
1054;dissemination;notebook to
1064;;
1065;installation;install(ation)?
1066;integration;%?matplotlib
1083;documentation;help
1093;visualization;widgets?
1095;editor,installation;install(ation)?,(tab|code|auto)-?\s?complet(e|ion)
1114;dissemination;(nb)?convert
1122;documentation;doc(s|umentation)?($|\W)
1124;ux,installation,content_management,language;install(ation)?,python,(folders?|director(y|ies)),(double(\s|-))?click(ing)?
1125;language;(more|different) kernels,R($|\W)
1129;integration;(ana)?conda
1133;;
1145;editor,ux;(screen|width),(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
1159;documentation;tutorial(s?)
1161;ux;(menu|buttons?|toolbar|tooltips?|logo|icons?)
1166;editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
1172;documentation,editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,tutorial(s?)
1178;editor,extensions;plugins?,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
1179;content_management;upload(\sfiles|notebooks)?
1184;documentation,ux;(better|modern) (UI|interface),hints
1200;installation;set(ting)?(\s)?up
1204;other;don't know
1212;hosting,installation;install(ation)?,docker
1218;editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
1230;;
1239;editor,ux;(text|code\s)?edit(or|ing),(reorder|move|select) cells
1258;ux,language;(multi-?)?language,(better|modern) (UI|interface)
1264;documentation;doc(s|umentation)?($|\W)
1267;documentation;examples?
1268;ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?)
1272;documentation,content_management;navigat(e|ion|ing),doc(s|umentation)?($|\W)
1285;ux;spell(\s|-)?check(er|ing)?
1287;documentation;tutorial(s?)
1291;installation,extensions;install(ation)?,extensions?
1306;visualization,content_management;(folders?|director(y|ies)),widgets?
1308;content_management;(search|find)(/|&|\sand\s)replace
1323;;
1325;hosting,documentation,installation;install(ation)?,start,demos?,hints
1333;ux,content_management;(menu|buttons?|toolbar|tooltips?|logo|icons?),file (brows(er|ing)|explorer|navigator)
1334;compatibility,version_control,editor;compatib(le|ility),(text|code\s)?edit(or|ing),versions,version control
1343;hosting,development;start,debug(ging|er)?
1354;documentation;introduction
1355;editor,ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,(better|modern) (UI|interface)
1360;other;remember
1363;hosting;server
1366;content_management;navigat(e|ion|ing)
1368;editor,ux;(screen|width),(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
1369;ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),(screen|width)
1378;ux,visualization;(better|modern) (UI|interface),visualization
1381;documentation,ux;guides?,interface
1384;other,ux,installation,content_management,integration;install(ation)?,(folders?|director(y|ies)),(double(\s|-))?click(ing)?,(ana)?conda,confusing
1400;documentation;doc(s|umentation)?($|\W)
1408;ux,content_management;tagging,upload(\sfiles|notebooks)?,drag,drag(/|&)drop,(project|file|notebook) management
1415;visualization,integration;pylab,visualization
1417;;
1420;documentation,editor,ux;(menu|buttons?|toolbar|tooltips?|logo|icons?),(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,tutorial(s?)
1421;editor,documentation,content_management;replace all,help,(tab|code|auto)-?\s?complet(e|ion)
1427;;
1428;content_management;navigat(e|ion|ing)
1431;compatibility,ux,language,installation,other;set(ting)?(\s)?up,python,(screen|width),versions,confusing
