;roles_roles;roles_keywords;roles_primary
759;data_scientist;data(\s|-)scien(ce|tist);data_scientist
763;engineer;^((?!software).)*engineer;engineer
765;developer,researcher;programmer,r&d($|\W);developer
766;researcher,engineer;research(er)?,^((?!software).)*engineer;engineer
771;engineer,data_scientist;^((?!software).)*engineer,data(\s|-)scien(ce|tist);data_scientist
773;data_scientist;data(\s|-)scien(ce|tist);data_scientist
780;data_scientist;data(\s|-)scien(ce|tist);data_scientist
781;developer;develop(er|ment);developer
785;educator;instructor;educator
786;developer;develop(er|ment);developer
791;financial_analyst;financial (model(er|ing)|analyst);financial_analyst
798;scientist;neuroscientist,^((?!data).)*scientist;scientist
799;engineer;^((?!software).)*engineer;engineer
800;developer;develop(er|ment);developer
803;;;
804;scientist,student;(astro|bio|geo)?physic(s|ist)?,student;student
806;data_scientist;data(\s|-)scien(ce|tist);data_scientist
808;student;student;student
814;developer;develop(er|ment);developer
815;data_scientist;data analys(t|is);data_scientist
816;financial_analyst;quant($|\W);financial_analyst
821;developer;develop(er|ment);developer
823;scientist,student,researcher;^((?!data).)*scientist,student,research(er)?;student
824;scientist,data_scientist;(astro|bio|geo)?physic(s|ist)?,data analys(t|is);scientist
828;researcher,data_scientist;research(er)?,machine learning;data_scientist
829;data_scientist;data(\s|-)scien(ce|tist);data_scientist
830;researcher;research(er)?;researcher
835;data_scientist;data(\s|-)scien(ce|tist);data_scientist
836;student;student;student
837;data_scientist;data analys(t|is);data_scientist
838;data_scientist;data(\s|-)scien(ce|tist);data_scientist
839;student;student,phd;student
841;;;
845;student;student;student
846;manager;management;manager
849;student;post(\s|-)?doc;student
851;data_scientist;data(\s|-)scien(ce|tist);data_scientist
857;independent;technologist;independent
859;developer,data_scientist;software (engineer|architect),data(\s|-)scien(ce|tist);developer
863;developer;programmer;developer
864;data_scientist;data(\s|-)scien(ce|tist);data_scientist
865;scientist;biologi(st|cal);scientist
866;researcher;research(er)?;researcher
869;data_scientist;data(\s|-)scien(ce|tist);data_scientist
871;statistician;statistician;statistician
872;data_scientist;data(\s|-)scien(ce|tist);data_scientist
873;scientist,engineer;^((?!data).)*scientist,^((?!software).)*engineer;scientist
877;student;student;student
881;student;student;student
884;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
887;data_scientist;data analys(t|is);data_scientist
888;student;student;student
889;data_scientist;data(\s|-)scien(ce|tist);data_scientist
890;data_scientist;data analys(t|is);data_scientist
892;scientist;^((?!data).)*scientist;scientist
894;data_scientist;data(\s|-)scien(ce|tist);data_scientist
897;analyst;analytics;analyst
898;data_scientist;data(\s|-)scien(ce|tist);data_scientist
902;developer,student;develop(er|ment),student;student
904;developer,data_scientist;develop(er|ment),data(\s|-)scien(ce|tist);data_scientist
905;student;student;student
906;data_scientist;data(\s|-)scien(ce|tist);data_scientist
915;developer;develop(er|ment);developer
916;tester;test(er|ing);tester
918;data_scientist;data(\s|-)scien(ce|tist);data_scientist
919;developer;programmer;developer
922;engineer;^((?!software).)*engineer;engineer
926;engineer;^((?!software).)*engineer;engineer
931;data_scientist;data(\s|-)scien(ce|tist);data_scientist
933;scientist;^((?!data).)*scientist;scientist
938;data_scientist;data(\s|-)scien(ce|tist);data_scientist
940;researcher,engineer;research(er)?,^((?!software).)*engineer;engineer
947;data_scientist;data(\s|-)scien(ce|tist);data_scientist
948;researcher;research(er)?;researcher
951;data_scientist;data(\s|-)scien(ce|tist);data_scientist
960;student;student;student
964;data_scientist;data(\s|-)scien(ce|tist);data_scientist
966;researcher,data_scientist;research(er)?,machine learning;data_scientist
969;data_scientist;data(\s|-)scien(ce|tist);data_scientist
970;student,researcher;student,research(er)?;student
971;presenter;lecturer;presenter
972;developer;develop(er|ment);developer
974;financial_analyst;financial (model(er|ing)|analyst);financial_analyst
979;scientist,student;geoscienc(es|tist),post(\s|-)?doc;student
980;developer;software (engineer|architect);developer
987;developer,data_scientist;programmer,data explorer;developer
994;analyst;^((?!(data|financial)).)*analyst;analyst
996;scientist,student;(astro|bio|geo)?physic(s|ist)?,student,phd;student
998;data_scientist;data analys(t|is);data_scientist
1000;student;student;student
1002;developer;develop(er|ment);developer
1005;manager;cto($|\W);manager
1008;analyst,presenter;^((?!(data|financial)).)*analyst,presenter;presenter
1016;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1018;educator;educator;educator
1020;data_scientist;data analys(t|is);data_scientist
1022;developer,analyst;develop(er|ment),analytics;developer
1024;scientist;(astro|bio|geo)?physic(s|ist)?,neuroscientist,^((?!data).)*scientist;scientist
1026;developer;software (engineer|architect);developer
1031;data_scientist;ml($|\W);data_scientist
1032;student;student;student
1035;student;student;student
1040;developer;software (engineer|architect);developer
1042;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1045;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1047;developer;software (engineer|architect);developer
1048;scientist,researcher;(astro|bio|geo)?physic(s|ist)?,research(er)?;researcher
1050;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1051;student;student;student
